x_m,y_m,curvature_1_per_m,radius_m,heading_rad
1.280196919301591407e+01,2.752181509324310493e+00,1.451992796610155484e-02,6.887086508518603978e+01,1.798621280975811268e-02
1.289699191712586845e+01,2.753955966938962607e+00,1.424718411801410324e-02,7.018930840765948176e+01,1.935319493769659810e-02
1.299401014521040132e+01,2.755900471178542865e+00,1.397198579414516903e-02,7.157178762800064931e+01,2.072232593936314607e-02
1.309304462434811001e+01,2.758021098977555763e+00,1.369544688427863297e-02,7.301696749654270491e+01,2.209261506360734109e-02
1.319411610161759185e+01,2.760323927270506683e+00,1.341853787469269449e-02,7.452376774119301217e+01,2.346314807441910247e-02
1.329724532409744953e+01,2.762815032991900566e+00,1.314210223114460618e-02,7.609132712650534813e+01,2.483308164950183070e-02
1.340245303886627681e+01,2.765500493076241906e+00,1.286687090455846359e-02,7.771897358865400918e+01,2.620163821518577130e-02
1.350975999300267816e+01,2.768386384458035199e+00,1.259347518275620408e-02,7.940619928081999035e+01,2.756810118065514820e-02
1.361918693358524735e+01,2.771478784071786272e+00,1.232245808366589333e-02,8.115263961218548161e+01,2.893181053789368670e-02
1.373075460769258704e+01,2.774783768851999621e+00,1.205428446120825579e-02,8.295805555427928368e+01,3.029215879683890694e-02
1.384448376240329281e+01,2.778307415733179742e+00,1.178934997399493610e-02,8.482231863553205642e+01,3.164858722801273255e-02
1.396039514479596377e+01,2.782055801649831572e+00,1.152798904863315543e-02,8.674539815932315889e+01,3.300058238739832922e-02
1.407850950194919903e+01,2.786035003536460497e+00,1.127048195345024123e-02,8.872735027039985312e+01,3.434767290058994560e-02
1.419884758094159594e+01,2.790251098327571011e+00,1.101706108450803932e-02,9.076830856517433688e+01,3.568942648527981265e-02
1.432143012885175537e+01,2.794710162957668498e+00,1.076791655359830673e-02,9.286847599741388137e+01,3.702544719298796194e-02
1.444627789275827645e+01,2.799418274361257009e+00,1.052320115726140121e-02,9.502811787551573275e+01,3.835537285260380569e-02
